Имя,Год,Страна,Сахар,Цена,Рейтинг,Количество отзывов,Наличие отзывов,Ценовая категория,Цена/Рейтинг
Вино Chateau Ducru-Beaucaillou,1985,Франция,Сухое,56990.0,5.0,0.0,0,Дорогое,0.2821285140562249
Вино Chateau Ducru-Beaucaillou,1986,Франция,Сухое,59990.0,5.0,0.0,0,Дорогое,0.2971887550200803
Вино Chateau Pichon Longueville Comtesse de Lalande,1995,Франция,Сухое,71490.0,0.0,0.0,0,Дорогое,
Вино Chateau Leoville Las Cases,2001,Франция,Сухое,67990.0,0.0,0.0,0,Дорогое,
Вино Chateau Calon Segur,2001,Франция,Сухое,39490.0,5.0,1.0,1,Дорогое,0.19427710843373494
Вино Chateau Lafleur,2001,Франция,Сухое,128490.0,0.0,0.0,0,Дорогое,
Вино Chateau Haut-Brion,2001,Франция,Сухое,147490.0,5.0,1.0,1,Дорогое,0.7364457831325302
Вино Chateau Margaux,2001,Франция,Сухое,154990.0,5.0,0.0,0,Дорогое,0.7740963855421688
Вино Chateau Ducru-Beaucaillou,2001,Франция,Сухое,44490.0,5.0,0.0,0,Дорогое,0.21937751004016065
Вино Chateau Leoville Las Cases,2001,Франция,Сухое,67990.0,0.0,0.0,0,Дорогое,
Вино Chateau Lafleur,2002,Франция,Сухое,80030.0,0.0,0.0,0,Дорогое,
Вино Chateau Cheval Blanc,2003,Франция,Сухое,169990.0,0.0,0.0,0,Дорогое,
Вино Chateau Grand-Puy-Lacoste,2003,Франция,Сухое,20490.0,5.0,1.0,1,Дорогое,0.09889558232931726
Вино Chateau Pichon Longueville Comtesse de Lalande,2003,Франция,Сухое,54490.0,0.0,0.0,0,Дорогое,
Вино Domaine de Viaud,2003,Франция,Сухое,7790.0,5.0,0.0,0,Среднее,0.035140562248995984
"Вино Chateau d'Angludet, Chateau Angludet",2003,Франция,Сухое,12990.0,5.0,0.0,0,Среднее,0.06124497991967871
Вино Chateau d'Armailhac,2004,Франция,Сухое,17490.0,5.0,0.0,0,Дорогое,0.08383534136546185
Вино Chateau Lafleur,2004,Франция,Сухое,118990.0,0.0,0.0,0,Дорогое,
Вино Chateau Pichon Longueville Comtesse de Lalande,2004,Франция,Сухое,52490.0,0.0,0.0,0,Дорогое,
