Имя,Год,Страна,Сахар,Цена,Рейтинг,Количество отзывов
Вино Chateau Ducru-Beaucaillou,1985.0,Франция,Сухое,56990.0,5.0,
Вино Chateau Ducru-Beaucaillou,1986.0,Франция,Сухое,59990.0,5.0,
Вино Chateau Pichon Longueville Comtesse de Lalande,1995.0,Франция,Сухое,71490.0,0.0,
"Вино Petrus, Chateau Petrus",1997.0,Франция,Сухое,786590.0,4.8,1.0
Вино Chateau Latour,2000.0,Франция,Сухое,284990.0,5.0,1.0
Вино Chateau Leoville Las Cases,2001.0,Франция,Сухое,67990.0,0.0,
Вино Chateau Calon Segur,2001.0,Франция,Сухое,39490.0,5.0,1.0
Вино Chateau Lafleur,2001.0,Франция,Сухое,128490.0,0.0,
Вино Chateau Haut-Brion,2001.0,Франция,Сухое,147490.0,5.0,1.0
Вино Chateau Margaux,2001.0,Франция,Сухое,154990.0,5.0,
Вино Chateau Ducru-Beaucaillou,2001.0,Франция,Сухое,44490.0,5.0,
Вино Chateau Leoville Las Cases,2001.0,Франция,Сухое,67990.0,0.0,
Вино Chateau Lafleur,2002.0,Франция,Сухое,80030.0,0.0,
Вино Chateau Latour,2003.0,Франция,Сухое,284990.0,5.0,1.0
Вино Chateau Cheval Blanc,2003.0,Франция,Сухое,169990.0,0.0,
Вино Chateau Grand-Puy-Lacoste,2003.0,Франция,Сухое,20490.0,5.0,1.0
Вино Chateau Pichon Longueville Comtesse de Lalande,2003.0,Франция,Сухое,54490.0,0.0,
Вино Domaine de Viaud,2003.0,Франция,Сухое,7790.0,5.0,
"Вино Chateau d'Angludet, Chateau Angludet",2003.0,Франция,Сухое,12990.0,5.0,
Вино Chateau d'Armailhac,2004.0,Франция,Сухое,17490.0,5.0,
Вино Chateau Lafleur,2004.0,Франция,Сухое,118990.0,0.0,
Вино Chateau Pichon Longueville Comtesse de Lalande,2004.0,Франция,Сухое,52490.0,0.0,
Вино Chateau Leoville Las Cases,2004.0,Франция,Сухое,52490.0,0.0,
Вино Chateau Cos d'Estournel,2004.0,Франция,Сухое,32990.0,5.0,1.0
Вино Chateau Margaux,2005.0,Франция,Сухое,269990.0,5.0,
Вино Chateau Trotanoy,2005.0,Франция,Сухое,63490.0,0.0,
"Вино Clos du Marquis, Chateau Leoville Las Cases",2005.0,Франция,Сухое,18990.0,0.0,
Вино Chateau Pichon Baron,2005.0,Франция,Сухое,66490.0,0.0,
Вино Chateau Pape Clement Rouge,2006.0,Франция,Сухое,32490.0,5.0,
Вино Chateau Margaux,2006.0,Франция,Сухое,165590.0,5.0,
